siren,ind_adhesion_directe,siren_membre
200002434,0,212303309
200002434,0,212303606
200002434,0,212304208
200002434,0,212304307
200002434,1,212304703
200002434,0,212305106
200002434,0,212305205
200002434,0,212305601
200002434,0,212306005
200002434,0,212307409
200002434,0,212308209
200002434,0,212308605
200002434,0,212308803
200002434,0,212309207
200002434,1,212309504
200002434,0,212309603
200002434,0,212309900
200002434,0,212310106
200002434,0,212310700
200002434,0,212311104
200002434,0,212311807
200002434,0,212312409
200002434,0,212312805
200002434,0,212313209
200002434,1,212313704
200002434,0,212313803
200002434,0,212314306
200002434,0,212315006
200002434,0,212315501
200002434,0,212315741
200002434,0,212316806
200002434,0,212316905
200002434,0,212317002
200002434,0,212317507
200002434,0,212317606
200002434,0,212317705
200002434,0,212318307
200002434,0,212318604
200002434,0,212319107
200002434,0,212319305
200002434,0,212319503
200002434,0,212319701
200002434,0,212320006
200002434,0,212320105
200002434,0,212320204
200002434,0,212320600
200002434,0,212320808
200002434,0,212321400
200002434,0,212321905
200002434,0,212322200
200002434,0,212323505
200002434,0,212323604
200002434,0,212324206
200002434,0,212324503
200002434,0,212324701
200002434,0,212324800
200002434,0,212325005
200002434,0,212325302
200002434,0,212325807
200002434,0,212326003
200002434,0,218700300
200002434,0,218700607
200002434,0,218700706
200002434,0,218700805
200002434,0,218701100
200002434,0,218701209
200002434,0,218701308
200002434,0,218701407
200002434,0,218701704
200002434,0,218702207
200002434,0,218702306
200002434,0,218703304
200002434,0,218704104
200002434,0,218704708
200002434,0,218705200
200002434,0,218705309
200002434,0,218705606
200002434,0,218705705
200002434,0,218705903
200002434,0,218706109
200002434,0,218706703
200002434,0,218706802
200002434,0,218707404
200002434,0,218708006
200002434,0,218708303
200002434,1,218708501
200002434,0,218708709
200002434,0,218708907
200002434,0,218709004
200002434,0,218710309
200002434,0,218710903
200002434,0,218711604
200002434,0,218712107
200002434,0,218712206
200002434,0,218713303
200002434,0,218713907
200002434,0,218714509
200002434,0,218714905
200002434,0,218715506
200002434,0,218715902
200002434,0,218716009
200002434,0,218716504
200002434,0,218717205
200002434,0,218717908
200002434,0,218718005
200002434,0,218718104
200002434,0,218718203
200002434,0,218719508
200002434,0,218719706
200002434,0,218719805
200002434,0,218720001
200002434,0,218720605
200002681,0,217701044
200002681,0,217701770
200002681,1,217701804
200002681,0,217701812
200002681,0,217702547
200002681,0,217703362
200002681,0,217703529
200002681,0,217703743
200002681,0,217703776
200002681,1,217704709
200003317,0,200054260
200003317,0,200056455
200003317,0,200057701
200003317,0,200058386
200003317,0,214400020
200003317,0,214400145
200003317,0,214400186
200003317,0,214400202
200003317,0,214400376
200003317,0,214400418
200003317,0,214400814
200003317,0,214400830
200003317,0,214401028
200003317,0,214401275
200003317,0,214401309
200003317,0,214401424
200003317,0,214401432
200003317,0,214401507
200003317,0,214401556
200003317,0,214401564
200003317,0,214401747
200003317,0,214401788
200003317,0,214401887
200003317,0,214401986
200003317,0,214402067
200003317,0,214402158
